sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
139,28,Danıştay,2,2021/17637,2143,2025-04-30,gebe×8 | travma×6 | illiyet×2 | TCK 87/88 | cenin/düşük,"…irlemek ve değiştirmek valinin görev ve yetkileri arasındadır. Kanun’a göre il idaresinin ikinci bölümünü il idare şube başkanları oluşturur. Valinin emri altında olan il idare şube başkanları, kendi görev alanlarına giren işlerin yürütülmesinden valiye karşı sorumludurlar. Anılanların, doğrudan doğruya işlem yapma yetkileri yoktur. Bunlar, kendi görev alanına giren konularda işlem ve kararları hazır…",DANIŞTAY KARARI
140,28,Anayasa,GK,1992/1-3,1,1993-07-14,gebe×4 | travma×17 | illiyet×113 | TCK 87/88,"…ceğiz, şunu açıkça isteyebilirmiyiz, kurultay karan olarak, kurultayımızın bir çağrısı olarak kurultaydan çıkacak parti meclisinin önüne bir kurultay emri olarak koymak üzere şunu isteyebilir miyiz, Kürt halkının açık özgür seçimleri diyebilir miyiz, bence bunu demek gerekir. Kürdistan&#39;da en kısa zamanda uluslararası gözlemcilerin kontrolünde açık referandum, iki Kürdistan&#39;da bir savaş var. B…","ANAYASA MAHKEMESİNİN E: 1992/1 (SİYASİ PARTİ KAPATMA), K: 1993/1 SAYILI KARARI"
141,28,Yargıtay,CG,2023/217,74,2025-02-13,gebe×4 | travma×136 | illiyet×29 | TCK 87/88,"…elilerin söylediği yanıltıcı ifadeler ve tehditlere rağmen dışarıda bulunan polisler ve insan kalabalığının mahiyetini tam olarak kavrayamadıkları ve emrin hukuka uygunluğundan şüphe duydukları cihetle hem karşılarındakilere zarar vermemek, hem de komutanlarını yanıltmak ve olası tepkilerini yatıştırabilmek amacıyla havaya doğru ateş ettiklerini beyan ettikleri anlaşılmaktadır. Mahkûmiyetine karar ve…",YARGITAY KARARI
142,28,Anayasa,GK,1997/1-4,1,1998-01-16,gebe×4 | travma×13 | illiyet×46 | TCK 87/88,"…akkın ihkakı için, hakkın yayılmış, Allahın kelimesi yükselmesi için yapılacak iktidar çalışmalarına cihad derler. Cenabı Hak bunu siyasi mücerretten emretmemiş. Cahudiden emretmiş. Ne demek? Ordu halinde yapılır. Komutanı bellidir... Namaz kılmanın şartı iktidarın Müslümanlaştırılmasıdır. Allah diyor ki, camilerden önce iktidar yolu Müslüman olacak... Beş vakit namaz kılınacak yerler için kubbeler y…","ANAYASA MAHKEMESİNİN E: 1997/1 (SİYASİ PARTİ KAPATMA), K: 1998/1 SAYILI KARARI"
143,27.9,Anayasa,1,2014/17591,,2017-04-19,gebe×3 | travma×236 | illiyet×2 | TCK 87/88 | cenin/düşük,"…raporuna göre; kanda alkol (etanol ve metanol) bulunmadığı, (1,99 ng/ml) diazepam, (1,76ng/ml) JWH-018 n-Pentanoic acid, (9,06 ng/ml) midazolam, chlorpromazine, quetiapine, metamizole (pür standartları olmadığından miktar verilemediği) bulunduğu, sistematikteki diğer maddelerin bulunmadığı, idrarda JWH-018 n-Pentanoic acid, Midazolam, Chlorpromazine, Çuetiapine, THC-COOH bulunduğu, sistematikteki diğe…",ANAYASA MAHKEMESİNİN 19/4/2017 TARİHLİ VE 2014/17591 SAYILI KARARI (BİREYSEL BAŞVURU)
144,27.9,Anayasa,GK,2003/66,72,2005-10-19,gebe×3 | travma×15 | illiyet×2 | TCK 87/88 | cenin/düşük,"…eme gitme hükmü konulmuşsa, bu hüküm normatif niteliktedir ve sendika üyesi olan işçiyi bağlar. Çünkü, 20. maddenin birinci fıkrasının son tümcesinde emredici nitelikte bir ifadeyle, ""Toplu iş sözleşmesinde hüküm varsa ... özel hakeme götürülür"" denilmektedir. Anayasa'nın 36. maddesinin birinci fıkrasına göre, herkes, meşru vasıta ve yollardan faydalanmak suretiyle yargı mercileri önünde davacı olara…","ANAYASA MAHKEMESİNİN E: 2003/66 (4857 SAYILI KANUN İLE İLGİLİ), K: 2005/72 SAYILI KARARI"
145,27.8,Yargıtay,4,2021/21142,2422,2023-02-23,gebe×4 | travma×3 | illiyet×5 | TCK 87/88 | cenin/düşük,"…ere ulaşması ile tamiri mümkün olmayan ağır hasarlar meydana geleceği aşikardır. 5271 sayılı Kanun'un 157. maddesinde \""Soruşturmalar gizli yapılır\"" emredici hükmü ile Yakalama, Gözaltına Alma ve İfade alma Yönetmeliği'nin 27. maddesinde öngörülen \""Suçluluğu bir yargı hükmüne bağlanana kadar kişinin masumiyeti esastır ve hazırlık soruşturması gizlidir. Bu nedenle soruşturma safhasında gözaltındaki…",YARGITAY KARARI
146,27.6,Yargıtay,21,2016/18430,2773,2017-04-04,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
147,27.6,Yargıtay,21,2015/21760,15697,2016-12-28,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
148,27.6,Yargıtay,21,2015/21005,340,2017-01-23,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
149,27.6,Yargıtay,21,2016/18255,2423,2018-03-19,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
150,27.6,Yargıtay,21,2016/18280,2567,2018-03-20,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
151,27.6,Yargıtay,21,2016/3958,6570,2017-09-19,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
152,27.6,Danıştay,10,2021/5357,1671,2025-03-18,gebe×28 | travma×1 | illiyet×16 | cenin/düşük,"…şma istemi yerinde görülmeyerek işin gereği görüşüldü: İNCELEME VE GEREKÇE: MADDİ OLAY : Dava dosyanın incelenmesinden; ...'ün 29. gebelik haftasında erken doğum tehdidi nedeni ile Bartın Kadın Doğum ve Çocuk Hastalıkları Hastanesinde 28/10/2010-01/11/2010 tarihleri arasında yatırılarak tedavi edildiği, 22/11/2010 tarihinde 33 haftalık gebe iken, sularının gelmesi şikayeti ile aynı hastaneye başvurduğu, aynı…",DANIŞTAY KARARI
153,27.6,Yargıtay,21,2019/5614,2377,2020-06-16,gebe×2 | travma×10 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
154,27.6,Yargıtay,21,2017/4415,168,2019-01-15,gebe×2 | travma×10 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
155,27.6,Yargıtay,21,2015/21787,15695,2016-12-28,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
156,27.6,Yargıtay,10,2023/4229,5445,2023-05-16,gebe×2 | travma×35 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…ası bu konuda ilgili kurumlara bilgi verilmesi v.b\"" sorumlulukların müvekkiline atfedilmesinin mümkün olmadığını, karayolları görevlileri tarafından emrivaki yapılarak görev alanında bulunmayan bir yere müvekkili şirketin emir ve talimatı olmaksızın kazalı kişinin görevlendirmesinde müvekkili şirkete kusur verilemeyeceğini, bu halde işveren müvekkili şirket yetkili kişilerinin “ işlemin yapılmaması…",YARGITAY KARARI
157,27.6,Yargıtay,21,2018/6078,5233,2019-09-17,gebe×2 | travma×26 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…kanun kuralı olarak değil de sözleşme kuralı olarak uygulanmaya devam eder meğerki bu ""Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
158,27.6,Yargıtay,21,2016/13871,6561,2017-09-19,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…olarak değil de sözleşme kuralı olarak uygulanmakta devam eder meğerki bu &quot; Eski Kanundan İktibas edilen sözleşme kuralları&quot;, yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",TAZMİNAT DAVASI - İŞ KAZASI SONUCU MALULİYET - İŞ KAZASININ TARİHİNE GÖRE HANGİ KANUNUN UYGULANACAĞININ AÇIK OLARAK BELİRLENMESİ LÜZUMU - UZMAN BİLİRKİŞİ KURULUNDAN USULÜNCE KUSUR ORANLARININ DEĞERLEN
159,27.6,Yargıtay,21,2016/4174,5185,2016-03-24,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
160,27.6,Yargıtay,21,2016/13300,1342,2018-02-19,gebe×2 | travma×30 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
161,27.6,Yargıtay,10,2020/11412,2333,2022-02-22,gebe×2 | travma×20 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…nun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu \""Eski Kanundan İktibas edilen sözleşme kuralları\"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
162,27.6,Yargıtay,21,2018/5945,7010,2019-11-19,gebe×2 | travma×14 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
163,27.6,Yargıtay,21,2016/18251,2422,2018-03-19,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
164,27.6,Yargıtay,21,2016/9150,1203,2017-02-21,gebe×2 | travma×14 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmakla devam eder meğerki bu ""Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",MANEVİ TAZMİNAT DAVASI - ARALARINDA TRAFİK İŞ GÜVENLİĞİ UZMANI DA BULUNAN BİLİRKİŞİ HEYETİNE İNCELEME YAPTIRILMASI - FARKLI KUSUR DEĞERLENDİRMELERİ ARASINDAKİ ÇELİŞKİLERİ GİDERECEK ŞEKİLDE TARAFLARIN 
165,27.6,Yargıtay,21,2016/12322,1190,2018-02-13,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
166,27.6,Yargıtay,21,2015/6705,5732,2016-03-31,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
167,27.6,Yargıtay,21,2019/123,4328,2019-06-13,gebe×2 | travma×22 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
168,27.6,Yargıtay,21,2015/16485,10406,2016-06-21,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
169,27.6,Yargıtay,21,2015/21806,15696,2016-12-28,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
170,27.6,Yargıtay,21,2016/16618,683,2017-02-07,gebe×2 | travma×14 | illiyet×8 | TCK 87/88 | trafik/iş kaz,"…anun kuralı olarak değil de sözleşme kuralı olarak uygulanmaka devam eder meğerki bu "" Eski Kanundan İktibas edilen sözleşme kuralları"", yeni Kanunun emredici, aksine sözleşme yapılamayacak olan kurallarına aykırı olsun. Bu ihtimalde artık bu kurallar, sözleşme kuralı kılığında ortaya çıksalar dahi, sözleşme kurallarının emredici kuralları bertaraf edemeyeceği genel kuralı gereğince uygulanamazlar ve…",YARGITAY KARARI
